rent_address,school_name,min_distance,min_duration
3-1-nangnak-lane-mont-albert-vic-3127-16105157,Allansford and District Primary School,1086.6,132.71
1-25-rose-street-armadale-vic-3143-10042843,Alberton Primary School,310.83,74.59
209-3-elliott-ave-carnegie-vic-3163-16097314,Alberton Primary School,885.67,109.04
207-11-13-jackson-street-st-kilda-vic-3182-16103822,Alberton Primary School,864.29,143.66
46-73-river-street-richmond-vic-3121-16094613,Avoca Primary School,547.79,62.98
8-260-wattletree-road-malvern-vic-3144-16098780,Allansford and District Primary School,868.58,69.44
3-46-foam-street-elwood-vic-3184-16109685,Belmont Primary School,1128.86,143.46
10-299-burke-road-glen-iris-vic-3146-16103519,Avoca Primary School,618.51,95.92
34-589-glenferrie-road-hawthorn-vic-3122-16094937,Alberton Primary School,161.64,18.63
5-490-492-moreland-road-brunswick-west-vic-3055-16091467,Allansford and District Primary School,1076.77,92.75
10-11-marine-parade-st-kilda-vic-3182-16091874,Alberton Primary School,1174.37,198.6
5-12a-toward-street-murrumbeena-vic-3163-16099704,Alberton Primary School,1255.32,178.96
4-105-wattle-valley-road-camberwell-vic-3124-16105634,Warrandyte Primary School,340.95,28.82
3-100-coventry-street-southbank-vic-3006-16111756,Alberton Primary School,677.08,116.32
1-204-neerim-road-carnegie-vic-3163-15580163,Avoca Primary School,293.61,26.94
1-116-inkerman-road-st-kilda-vic-3182-15926395,Alberton Primary School,800.6,113.45
1-2a-robe-street-st-kilda-vic-3182-16095963,Alberton Primary School,1289.01,183.83
1-69-centre-dandenong-road-dingley-village-vic-3172-16099840,Alberton Primary School,373.08,29.92
10-talliver-terrace-truganina-vic-3029-16111383,Alberton Primary School,1252.68,181.62
13-fenwick-street-thornbury-vic-3071-16108011,Allansford and District Primary School,721.01,119.96
30-beluga-street-mount-eliza-vic-3930-16104711,Alberton Primary School,1370.7,252.62
3-4-beverley-street-glen-huntly-vic-3163-16109544,Avoca Primary School,864.07,126.43
2-ritz-street-vermont-south-vic-3133-15960853,Allansford and District Primary School,509.64,96.18
1-3-jaguar-drive-clayton-vic-3168-16022646,Allansford and District Primary School,1579.02,292.14
505-79-river-street-south-yarra-vic-3141-16108010,Avoca Primary School,146.63,25.67
15-18-princes-street-st-kilda-vic-3182-16027235,Alberton Primary School,481.92,86.06
3-1-freeman-street-caulfield-vic-3162-16092052,Avenel Primary School,585.61,68.46
706-75-wellington-street-collingwood-vic-3066-15210408,Avenel Primary School,244.24,36.43
3-3-mackay-ave-carnegie-vic-3163-16098646,Avenel Primary School,467.05,57.6
12-abbotsford-avenue-malvern-east-vic-3145-16092573,Allansford and District Primary School,25.91,4.66
13-47-brighton-road-st-kilda-vic-3182-16099504,Alberton Primary School,653.83,102.06
1-2-2-woodstock-street-st-kilda-vic-3182-16093793,Alberton Primary School,997.52,125.29
1601-7-claremont-street-south-yarra-vic-3141-15452608,Avoca Primary School,1192.89,164.58
512-4-joseph-rd-footscray-vic-3011-15583218,Allansford and District Primary School,538.41,74.09
44-elliott-ave-balwyn-vic-3103-16105752,Avenel Primary School,1025.49,111.82
4-22-allison-road-elsternwick-vic-3185-11212197,Warrandyte Primary School,271.34,47.35
29-2-hanlon-court-wodonga-vic-3690-16106894,Avenel Primary School,192.45,38.14
17-crown-close-oakleigh-east-vic-3166-16113552,Castlemaine Primary School,1675.76,148.12
72-perth-street-prahran-vic-3181-16108083,Avenel Primary School,689.23,93.35
22a-tweed-st-highett-vic-3190-16103736,Avenel Primary School,248.83,40.05
1305-45-claremont-street-south-yarra-vic-3141-16097070,Avoca Primary School,954.56,124.58
13-58-clarendon-street-thornbury-vic-3071-16101018,Alberton Primary School,501.07,85.85
1c-lewisham-road-windsor-vic-3181-16104364,Warrandyte Primary School,718.65,90.32
4-86-normanby-avenue-thornbury-vic-3071-16108540,Alberton Primary School,764.32,106.53
5-120-murray-street-caulfield-vic-3162-16098698,Alberton Primary School,591.6,93.05
75-cutter-street-richmond-vic-3121-16105791,Avenel Primary School,1428.63,181.2
46-elm-grove-kew-east-vic-3102-16099817,Allansford and District Primary School,1182.65,190.21
24-300-high-street-prahran-vic-3181-16092833,Allansford and District Primary School,618.82,66.43
6-217-buckley-street-seddon-vic-3011-16104892,Alberton Primary School,1144.89,175.52
402-2a-clarence-street-malvern-east-vic-3145-16095778,Alberton Primary School,623.74,69.79
2-hailar-lane-lara-vic-3212-16107512,Alberton Primary School,1386.95,183.86
2-276-hawthorn-road-caulfield-vic-3162-16097784,Alberton Primary School,782.45,77.4
107-324-centre-road-bentleigh-vic-3204-16094020,Alberton Primary School,972.42,91.31
402-1-chapel-mews-south-yarra-vic-3141-16108066,Allansford and District Primary School,269.05,30.86
g06-501-little-collins-street-melbourne-vic-3000-16096996,Allansford and District Primary School,263.92,44.17
72b-ardoyne-st-black-rock-vic-3193-16109670,Alberton Primary School,549.93,131.98
19-canterbury-street-richmond-vic-3121-16096668,Belmont Primary School,984.62,126.93
102-9-dryburgh-street-west-melbourne-vic-3003-15235467,Allansford and District Primary School,1678.69,282.83
3006-31-a-beckett-street-melbourne-vic-3000-16104600,Bacchus Marsh Primary School,961.1,114.08
1402-82-queens-rd-melbourne-vic-3004-16099647,Allansford and District Primary School,667.77,91.38
4-162-lygon-street-brunswick-east-vic-3057-16101848,Alberton Primary School,932.7,82.61
1311-18-claremont-street-south-yarra-vic-3141-16106506,Avoca Primary School,1126.34,152.6
102-4-yertchuk-avenue-ashwood-vic-3147-16095641,Allansford and District Primary School,140.31,33.67
1508-6-joseph-road-footscray-vic-3011-16091829,Allansford and District Primary School,559.68,76.64
27-carroll-street-north-melbourne-vic-3051-16104463,Warrandyte Primary School,591.28,127.01
g09-59-earl-street-kew-vic-3101-14910454,Allansford and District Primary School,1124.98,100.17
11-mell-street-toorak-vic-3142-16096375,Allansford and District Primary School,1045.35,161.9
82-115-neerim-road-glen-huntly-vic-3163-16095621,Allansford and District Primary School,467.04,49.21
1108-81-south-wharf-drive-docklands-vic-3008-16107733,Alberton Primary School,3073.35,435.14
4-35-marne-street-south-yarra-vic-3141-16103633,Avoca Primary School,571.06,86.8
3-15-17-bendigo-street-collingwood-vic-3066-16108579,Alberton Primary School,1049.94,172.77
21-425-toorak-road-toorak-vic-3142-16113469,Avoca Primary School,1334.26,181.84
3-15-elata-street-oakleigh-south-vic-3167-16099363,Alberton Primary School,1350.19,166.46
