rent_address,school_name,min_distance,min_duration
3-188-bay-road-sandringham-vic-3191-16112438,Allansford and District Primary School,612.92,72.46
28-somerset-road-glen-iris-vic-3146-16108831,Allansford and District Primary School,1211.55,169.99
6-5-winifred-essendon-vic-3040-16105691,Avenel Primary School,970.44,142.77
2-12-chastleton-avenue-toorak-vic-3142-16111165,Alberton Primary School,1363.75,226.46
42-321-chapel-street-prahran-vic-3181-16094332,Avoca Primary School,712.01,68.98
2-7-ormond-road-ormond-vic-3204-16096904,Avoca Primary School,516.63,101.62
1215-7-claremont-street-south-yarra-vic-3141-16108496,Avoca Primary School,1192.89,164.58
11-115-victoria-rd-hawthorn-east-vic-3123-16099268,Alberton Primary School,678.77,89.25
2-6-charlotte-place-st-kilda-vic-3182-16104068,Wodonga Primary School,959.67,135.21
1-16-darling-street-south-yarra-vic-3141-16100628,Avenel Primary School,764.59,89.64
208-20-station-street-highett-vic-3190-16092254,Alberton Primary School,1438.07,220.39
35-mahla-avenue-wollert-vic-3750-16092524,Alberton Primary School,227.75,48.43
5-61-stanley-street-west-melbourne-vic-3003-16105408,Avoca Primary School,807.27,118.04
204-294-lygon-street-brunswick-east-vic-3057-15429522,Allansford and District Primary School,1305.97,138.36
16-rossmoyne-street-thornbury-vic-3071-16107643,Avenel Primary School,279.85,36.71
4-peter-st-south-yarra-vic-3141-16111285,Alberton Primary School,406.83,49.63
2-17-railway-parade-murrumbeena-vic-3163-16109008,Alberton Primary School,1089.71,154.21
1-2-cunningham-place-oakleigh-south-vic-3167-16094025,Castlemaine Primary School,1997.56,258.33
204-27-the-avenue-windsor-vic-3181-16103482,Alberton Primary School,428.04,76.14
3-28a-carlisle-crescent-hughesdale-vic-3166-15840574,Allansford and District Primary School,1148.57,157.78
18-112-riversdale-road-hawthorn-vic-3122-16108055,Avoca Primary School,438.05,31.54
511-37-39-park-street-south-melbourne-vic-3205-16111490,Avoca Primary School,780.45,137.29
5-4-little-buckingham-street-richmond-vic-3121-16099408,Avenel Primary School,661.2,64.72
1202-31-spring-street-melbourne-vic-3000-16111139,Alberton Primary School,643.27,95.98
4-49a-tennyson-street-elwood-vic-3184-16109927,Allansford and District Primary School,844.75,149.9
3-17-moorhouse-street-richmond-vic-3121-13330833,Avenel Primary School,552.07,73.31
1-koetong-crescent-west-wodonga-vic-3690-16112153,Alberton Primary School,1203.09,122.46
3201-245-city-road-southbank-vic-3006-16094069,Allansford and District Primary School,900.88,122.65
3-aisbett-ave-camberwell-vic-3124-16109108,Allansford and District Primary School,570.16,67.89
33-campbell-street-brighton-vic-3186-16104223,Allansford and District Primary School,621.0,74.32
110-22-chatham-street-prahran-vic-3181-16104912,Avoca Primary School,485.92,58.11
43-eastbourne-street-prahran-vic-3181-16099313,Allansford and District Primary School,591.91,65.16
5-princes-place-port-melbourne-vic-3207-16095122,Alberton Primary School,875.55,160.63
2-1-mitchell-court-noble-park-vic-3174-16091711,Alberton Primary School,1795.51,135.6
106-35-victoria-parade-collingwood-vic-3066-16093671,Avoca Primary School,216.49,32.46
6-183-coppin-street-richmond-vic-3121-16105773,Avenel Primary School,848.54,92.55
g01-43-crisp-street-hampton-vic-3188-16104598,Alberton Primary School,1175.1,172.46
5-9-rosstown-road-carnegie-vic-3163-16110849,Alberton Primary School,975.18,166.38
6-8-clyde-street-kew-east-vic-3102-16106556,Avoca Primary School,883.64,153.38
112-4-acacia-place-abbotsford-vic-3067-16104805,Allansford and District Primary School,917.87,111.34
135-spring-street-west-port-melbourne-vic-3207-16110342,Avenel Primary School,275.72,69.91
211-7-red-hill-terrace-doncaster-east-vic-3109-16092464,Avenel Primary School,1843.25,260.33
1-540-glenhuntly-road-elsternwick-vic-3185-12838412,Warrandyte Primary School,820.62,111.31
937-riversdale-road-surrey-hills-vic-3127-16095527,Allansford and District Primary School,1089.94,94.8
108a-queens-parade-fitzroy-north-vic-3068-16113014,Warrandyte Primary School,781.75,113.39
46-nicholson-street-brunswick-east-vic-3057-16112281,Warrandyte Primary School,462.64,50.53
1-52-medway-street-box-hill-vic-3128-16112906,Avoca Primary School,1298.78,141.74
5-327-dandenong-road-prahran-vic-3181-16112180,Warrandyte Primary School,278.04,22.98
6-eyre-st-balwyn-vic-3103-16095631,Alberton Primary School,520.46,45.12
306-198-st-kilda-road-st-kilda-vic-3182-16113646,Warrandyte Primary School,969.32,111.35
3-52-baker-street-richmond-vic-3121-16098254,Avoca Primary School,668.62,141.92
6-30-munro-st-hawthorn-east-vic-3123-16112646,Avenel Primary School,759.85,76.87
2-47-brighton-road-st-kilda-vic-3182-16103420,Allansford and District Primary School,965.02,137.73
1-15-melbourne-street-murrumbeena-vic-3163-16103337,Alberton Primary School,846.09,111.46
8-grange-road-sandringham-vic-3191-15431555,Alberton Primary School,631.32,121.77
6-507-dandenong-road-armadale-vic-3143-16098888,Alberton Primary School,1725.97,131.74
304-708-burwood-rd-hawthorn-east-vic-3123-16096604,Avoca Primary School,879.25,72.52
7-2a-burnie-street-toorak-vic-3142-16108212,Alberton Primary School,2104.84,280.79
24-henderson-street-south-melbourne-vic-3205-16091414,Avoca Primary School,832.93,186.79
1-20-carramar-street-chadstone-vic-3148-16100769,Allansford and District Primary School,221.8,53.23
303-11-hoddle-street-collingwood-vic-3066-16093268,Avenel Primary School,796.25,104.08
502-46-villiers-street-north-melbourne-vic-3051-16091326,Belmont Primary School,799.39,106.7
201-21-mills-boulevard-alphington-vic-3078-16094987,Allansford and District Primary School,1008.81,184.12
8-jenkin-street-brunswick-vic-3056-16107288,Warrandyte Primary School,917.04,106.33
1-kalymna-grove-st-kilda-east-vic-3183-16110858,Belmont Primary School,743.64,67.74
10-55-heller-street-brunswick-west-vic-3055-16099137,Avoca Primary School,592.6,76.72
unit-901-50-claremont-st-south-yarra-vic-3141-16098894,Avoca Primary School,988.67,127.82
g02-555-burke-road-camberwell-vic-3124-16095744,Allansford and District Primary School,1119.47,89.03
314-14-elizabeth-street-malvern-vic-3144-16110243,Alberton Primary School,1010.42,169.38
10-edlington-street-hawthorn-vic-3122-16113945,Avoca Primary School,530.13,42.66
9-67-ballarat-rd-footscray-vic-3011-16098677,Alberton Primary School,1030.17,136.56
14-thomas-st-camberwell-vic-3124-16106434,Alberton Primary School,203.87,22.26
1-10-keith-street-oakleigh-east-vic-3166-16099635,Alberton Primary School,1422.52,180.0
5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Allansford and District Primary School,409.87,84.65
704-68-wests-road-maribyrnong-vic-3032-16092164,Allansford and District Primary School,1292.24,186.06
1-383-serpells-road-doncaster-east-vic-3109-16111336,Alberton Primary School,1006.23,199.82
19-norwood-st-sandringham-vic-3191-16094744,Alberton Primary School,1410.12,158.87
3008-288-spencer-street-melbourne-vic-3000-16097762,Allansford and District Primary School,414.76,85.82
101-20-weir-street-balwyn-vic-3103-16106435,Avenel Primary School,642.04,81.82
59-comas-grove-thornbury-vic-3071-16108541,Alberton Primary School,955.66,123.24
8-133-clarke-street-northcote-vic-3070-16091779,Warrandyte Primary School,637.78,95.4
8-31-charnwood-road-st-kilda-vic-3182-16111421,Ballarat Primary School (Dana Street),542.56,67.32
46a-46b-turner-road-highett-vic-3190-16109315,Alberton Primary School,1561.83,136.03
1-4-6-mallawa-street-clayton-south-vic-3169-16092812,Alberton Primary School,1692.0,144.42
74-sutherland-road-armadale-vic-3143-16092668,Avoca Primary School,1059.44,137.44
2-16-thurloo-street-chadstone-vic-3148-16096767,Allansford and District Primary School,800.6,147.31
1-1-ruskin-street-elwood-vic-3184-16106092,Warrandyte Primary School,277.3,66.55
39-220-barkly-street-st-kilda-vic-3182-14537180,Allansford and District Primary School,498.02,112.04
3-681-inkerman-road-caulfield-north-vic-3161-16107828,Alberton Primary School,694.53,45.91
1-9-robert-st-elwood-vic-3184-16108685,Allansford and District Primary School,617.75,96.45
13-23-power-street-hawthorn-vic-3122-16092614,Avoca Primary School,513.02,66.13
2-445-glenferrie-road-malvern-vic-3144-16109767,Alberton Primary School,1452.84,122.24
8-8-cardigan-street-st-kilda-east-vic-3183-16094608,Bacchus Marsh Primary School,485.21,64.51
2-14-gregory-street-oak-park-vic-3046-16095581,Avoca Primary School,855.96,163.43
2902-250-city-road-southbank-vic-3006-16111286,Allansford and District Primary School,1348.24,174.32
15-2a-bates-street-malvern-east-vic-3145-16108936,Avoca Primary School,1070.47,161.21
7-regent-street-yarraville-vic-3013-16096035,Alberton Primary School,492.81,69.71
1309-199-william-street-melbourne-vic-3000-16093914,Avenel Primary School,572.32,87.6
47-bedford-street-collingwood-vic-3066-16105364,Belmont Primary School,319.02,76.56
709-12-14-claremont-street-south-yarra-vic-3141-16098801,Avoca Primary School,1165.91,159.73
10-4a-wando-grove-st-kilda-east-vic-3183-16099165,Warrandyte Primary School,673.97,86.77
2613-65-dudley-street-west-melbourne-vic-3003-16108153,Allansford and District Primary School,643.08,89.26
26a-bonny-street-bentleigh-east-vic-3165-16058750,Avenel Primary School,1043.19,137.13
1855-malvern-road-malvern-east-vic-3145-16103632,Avoca Primary School,813.82,128.93
84-palmerston-crescent-south-melbourne-vic-3205-16106315,Warrandyte Primary School,383.21,74.59
23-66-murray-street-prahran-vic-3181-16093824,Belmont Primary School,1083.92,121.35
3-487-kooyong-road-elsternwick-vic-3185-16105411,Avoca Primary School,1268.87,147.17
29-turnball-grove-northcote-vic-3070-16110278,Alberton Primary School,380.62,83.93
139-chapel-street-st-kilda-vic-3182-16110151,Alberton Primary School,646.4,75.42
50-thea-grove-doncaster-east-vic-3109-16094598,Allansford and District Primary School,760.3,138.5
1-3-crescent-road-camberwell-vic-3124-16096867,Alberton Primary School,640.92,88.64
6-47-wheeler-st-ormond-vic-3204-16098675,Belmont Primary School,347.5,47.87
4-gilmour-road-camberwell-vic-3124-16106772,Alberton Primary School,819.83,92.61
7-15-rosedale-avenue-glen-huntly-vic-3163-16095521,Alberton Primary School,452.28,47.14
33-400-little-collins-street-melbourne-vic-3000-16022489,Avenel Primary School,573.43,73.2
205-211-44-barkly-street-st-kilda-vic-3182-15694325,Allansford and District Primary School,615.79,102.97
72b-napier-street-south-melbourne-vic-3205-16109558,Avenel Primary School,370.51,67.09
19-122-high-street-preston-vic-3072-16112735,Avenel Primary School,470.61,58.61
10-henrietta-st-hawthorn-vic-3122-16094383,Avoca Primary School,231.89,23.63
110-182-whitehorse-road-balwyn-vic-3103-15840276,Alberton Primary School,713.31,91.96
